time,Np,dp,dm ,dg,np
0.00053333,1.25427E+18,2.00E-09,2.78895E-09,2.21E-09,2.093691085
0.00053636,1.24984E+18,2.00E-09,2.7934E-09,2.21E-09,2.101114314
0.00053939,1.24543E+18,2.00E-09,2.79784E-09,2.22E-09,2.108555163
0.00054242,1.24104E+18,2.00E-09,2.80229E-09,2.22E-09,2.116013653
0.00054545,1.23667E+18,2.00E-09,2.80674E-09,2.23E-09,2.123489803
0.00054848,1.23232E+18,2.00E-09,2.8112E-09,2.23E-09,2.130983631
0.00055152,1.22799E+18,2.00E-09,2.81565E-09,2.24E-09,2.138495157
0.00055455,1.22368E+18,2.00E-09,2.82011E-09,2.24E-09,2.146024401
0.00055758,1.2194E+18,2.00E-09,2.82457E-09,2.25E-09,2.153571382
0.00056061,1.21513E+18,2.00E-09,2.82903E-09,2.25E-09,2.161136118
0.00056364,1.21088E+18,2.00E-09,2.83349E-09,2.26E-09,2.168718629
0.00056667,1.20665E+18,2.00E-09,2.83795E-09,2.26E-09,2.176318935
0.0005697,1.20244E+18,2.00E-09,2.84242E-09,2.27E-09,2.183937055
0.00057273,1.19825E+18,2.00E-09,2.84689E-09,2.27E-09,2.191573007
0.00057576,1.19408E+18,2.00E-09,2.85136E-09,2.28E-09,2.199226811
0.00057879,1.18993E+18,2.00E-09,2.85583E-09,2.28E-09,2.206898486
0.00058182,1.1858E+18,2.00E-09,2.8603E-09,2.28E-09,2.214588051
0.00058485,1.18169E+18,2.00E-09,2.86478E-09,2.29E-09,2.222295526
0.00058788,1.17759E+18,2.00E-09,2.86925E-09,2.29E-09,2.230020929
0.00059091,1.17352E+18,2.00E-09,2.87373E-09,2.30E-09,2.23776428
0.00059394,1.16946E+18,2.00E-09,2.87821E-09,2.30E-09,2.245525597
0.00059697,1.16542E+18,2.00E-09,2.8827E-09,2.31E-09,2.253304901
0.0006,1.16141E+18,2.00E-09,2.88718E-09,2.31E-09,2.261102209
0.00060303,1.15741E+18,2.00E-09,2.89167E-09,2.32E-09,2.268917541
0.00060606,1.15342E+18,2.00E-09,2.89616E-09,2.32E-09,2.276750916
0.00060909,1.14946E+18,2.00E-09,2.90065E-09,2.33E-09,2.284602353
0.00061212,1.14551E+18,2.00E-09,2.90514E-09,2.33E-09,2.292471871
0.00061515,1.14159E+18,2.00E-09,2.90963E-09,2.34E-09,2.300359489
0.00061818,1.13768E+18,2.00E-09,2.91413E-09,2.34E-09,2.308265226
0.00062121,1.13378E+18,2.00E-09,2.91863E-09,2.35E-09,2.316189102
0.00062424,1.12991E+18,2.00E-09,2.92312E-09,2.35E-09,2.324131134
0.00062727,1.12605E+18,2.00E-09,2.92763E-09,2.35E-09,2.332091343
0.0006303,1.12221E+18,2.00E-09,2.93213E-09,2.36E-09,2.340069746
0.00063333,1.11839E+18,2.00E-09,2.93663E-09,2.36E-09,2.348066363
0.00063636,1.11459E+18,2.00E-09,2.94114E-09,2.37E-09,2.356081213
0.00063939,1.1108E+18,2.00E-09,2.94565E-09,2.37E-09,2.364114315
0.00064242,1.10703E+18,2.00E-09,2.95016E-09,2.38E-09,2.372165687
0.00064545,1.10328E+18,2.00E-09,2.95467E-09,2.38E-09,2.380235349
0.00064848,1.09954E+18,2.00E-09,2.95918E-09,2.39E-09,2.38832332
0.00065152,1.09582E+18,2.00E-09,2.9637E-09,2.39E-09,2.396429617
0.00065455,1.09212E+18,2.00E-09,2.96822E-09,2.40E-09,2.404554261
0.00065758,1.08843E+18,2.00E-09,2.97274E-09,2.40E-09,2.41269727
