t[s],lambda[m],N_agg[mol/kg],N_agg[#/m3],N_pri[mol/kg],N_pri[#/m3],n_p,d_p[nm],d_m[nm],d_g[nm]
5.128044136234577e-05,5.510640650883693e-07,3.077782953886673e-05,2.2797855877751985e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1518875462635858,1.9999369869583437,2.1313307442156235,1.6521943753609483
5.243338529689588e-05,5.503134571717457e-07,3.068424607894869e-05,2.272853642723457e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1554006722416037,1.9999369869583437,2.134253437042342,1.6544600287149935
5.269953892882382e-05,5.50137087358736e-07,3.066270729352118e-05,2.271258214672437e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1562122746524406,1.9999369869583437,2.1349279423084977,1.6549829010143395
5.346364258126559e-05,5.496243854369037e-07,3.060100556614682e-05,2.2666878238776197e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1585435802170008,1.9999369869583437,2.136863993032065,1.6564837155287326
5.4867300244302654e-05,5.486583991328698e-07,3.0488175948991176e-05,2.2583302710897987e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1628310793718442,1.9999369869583437,2.140418993809532,1.6592395300849085
5.577814564962565e-05,5.480152387005328e-07,3.0415315507833685e-05,2.2529333283502195e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1656166623592326,1.9999369869583437,2.142724811362899,1.661026985552635
5.607783583997629e-05,5.478008797225871e-07,3.0391403555014578e-05,2.251162114257825e+18,3.5452598546844106e-05,2.62605662670946e+18,1.166533769415017,1.9999369869583437,2.143483300315592,1.6616149614849551
5.700642497174521e-05,5.471282465080892e-07,3.0317503109032907e-05,2.2456881359363057e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1693772544309966,1.9999369869583437,2.145832908229359,1.6634363629684952
5.862810054033472e-05,5.459239192512045e-07,3.018913194741072e-05,2.2361793847170993e+18,3.5452598546844106e-05,2.62605662670946e+18,1.174349716600077,1.9999369869583437,2.1499341769837166,1.6666156410726485
6.068045320573011e-05,5.443488325600583e-07,3.0027911187397377e-05,2.2242373871612145e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1806548356158537,1.9999369869583437,2.15512090639601,1.6706363615472946
6.189369523143428e-05,5.433929236148737e-07,2.9933252858237708e-05,2.2172258240388513e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1843884363235004,1.9999369869583437,2.158185069278964,1.6730116816115999
6.226376242712572e-05,5.430979161109212e-07,2.9904474850883932e-05,2.2150941699426074e+18,3.5452598546844106e-05,2.62605662670946e+18,1.1855282101968154,1.9999369869583437,2.159119421981803,1.6737359860324055
